# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 09-25
#   under openfield (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8890
# CROP: potato
# PLANTING_DATE: 09-25
# CONDITION: openfield
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-25,initial,0.5,0.1,5.96,2.98,2.98,2.98,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,2,2010-09-26,initial,0.5,0.105,5.62,2.81,2.81,2.81,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,3,2010-09-27,initial,0.5,0.11,5.94,2.97,2.97,2.97,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,4,2010-09-28,initial,0.5,0.115,5.9,2.95,2.95,2.95,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,5,2010-09-29,initial,0.5,0.12,5.79,2.9,2.9,2.9,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,6,2010-09-30,initial,0.5,0.125,5.63,2.82,2.82,2.82,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,7,2010-10-01,initial,0.5,0.13,5.08,2.54,2.54,2.54,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,8,2010-10-02,initial,0.5,0.135,4.86,2.43,2.43,2.43,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,9,2010-10-03,initial,0.5,0.14,4.8,2.4,2.4,2.4,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,10,2010-10-04,initial,0.5,0.145,5.03,2.51,2.51,2.51,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,11,2010-10-05,initial,0.5,0.15,5.09,2.54,2.54,2.54,1.0,0.087,1.8,1.8,0.0
full_eto,001,2010,12,2010-10-06,initial,0.5,0.155,5.15,2.58,2.58,2.58,1.0,0.409,9.6,11.4,0.0
full_eto,001,2010,13,2010-10-07,initial,0.5,0.16,5.17,2.59,2.59,2.59,1.0,0.533,13.4,24.8,0.0
full_eto,001,2010,14,2010-10-08,initial,0.5,0.165,5.12,2.56,2.56,2.56,1.0,0.643,17.1,41.9,0.0
