# SOURCE: Synthetic data generated for Community Agri-PV model
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale cucumber prices (USD/kg) for Egypt/MENA region
# UNITS: usd_per_kg (wholesale), usd_per_kg_farmgate (estimated farmgate)
# LOGIC: Sinusoidal seasonality (low prices at harvest) + AR(1) persistence + random shocks
# DEPENDENCIES: None
# ASSUMPTIONS: Harvest months [4, 5, 6, 7, 8, 9], price range $0.60-$1.40/kg
# FARMGATE_RATIO: 0.45 (farmgate = wholesale * 0.45, typical Egyptian fresh produce)
# GENERATION_METHOD: Synthetic with realistic seasonal and market dynamics
# CURRENCY: All prices in USD; reference FAO/USDA global commodity prices
date,usd_per_kg,season,market_condition,usd_per_kg_farmgate
2015-01-01,1.2025,winter,high,0.5411
2015-02-01,1.0553,winter,medium,0.4749
2015-03-01,1.2173,spring,high,0.5478
2015-04-01,1.0314,spring,low,0.4641
2015-05-01,1.1915,spring,high,0.5362
2015-06-01,0.9786,summer,low,0.4404
2015-07-01,1.0067,summer,low,0.453
2015-08-01,1.0582,summer,medium,0.4762
2015-09-01,1.1586,fall,high,0.5214
2015-10-01,1.0956,fall,medium,0.493
2015-11-01,1.0904,fall,medium,0.4907
2015-12-01,1.1274,winter,high,0.5073
2016-01-01,1.0784,winter,medium,0.4853
2016-02-01,1.0521,winter,medium,0.4734
2016-03-01,1.1097,spring,medium,0.4994
2016-04-01,0.9981,spring,low,0.4491
2016-05-01,1.0535,spring,medium,0.4741
2016-06-01,0.9092,summer,low,0.4091
2016-07-01,0.9824,summer,low,0.4421
2016-08-01,1.1612,summer,high,0.5225
2016-09-01,1.0921,fall,medium,0.4914
2016-10-01,1.0604,fall,medium,0.4772
2016-11-01,1.1289,fall,high,0.508
2016-12-01,0.9767,winter,low,0.4395
2017-01-01,0.9703,winter,low,0.4366
2017-02-01,1.0211,winter,low,0.4595
2017-03-01,1.0034,spring,low,0.4515
2017-04-01,1.0692,spring,medium,0.4811
2017-05-01,0.9144,spring,low,0.4115
2017-06-01,1.0508,summer,low,0.4729
2017-07-01,1.0704,summer,medium,0.4817
2017-08-01,1.0603,summer,medium,0.4771
2017-09-01,0.9614,fall,low,0.4326
2017-10-01,1.1256,fall,medium,0.5065
2017-11-01,1.1158,fall,medium,0.5021
2017-12-01,1.2103,winter,high,0.5446
2018-01-01,1.1616,winter,high,0.5227
2018-02-01,1.0741,winter,medium,0.4833
2018-03-01,1.0884,spring,medium,0.4898
2018-04-01,1.0137,spring,low,0.4562
2018-05-01,1.0041,spring,low,0.4518
2018-06-01,1.1536,summer,high,0.5191
2018-07-01,1.0154,summer,low,0.4569
2018-08-01,1.0978,summer,medium,0.494
2018-09-01,0.9882,fall,low,0.4447
2018-10-01,1.0543,fall,medium,0.4744
2018-11-01,1.152,fall,high,0.5184
2018-12-01,1.2653,winter,high,0.5694
2019-01-01,1.423,winter,high,0.6404
2019-02-01,1.1339,winter,high,0.5103
2019-03-01,1.1498,spring,high,0.5174
