# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 02-11
#   under openfield (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-11
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-11,initial,0.7,0.1,3.43,2.4,2.4,2.4,1.0,1.0,11.9,11.9,0.0
full_eto,001,2010,2,2010-02-12,initial,0.7,0.106,3.35,2.35,2.35,2.35,1.0,0.946,12.7,24.6,0.0
full_eto,001,2010,3,2010-02-13,initial,0.7,0.112,3.69,2.59,2.59,2.59,1.0,0.776,10.9,35.5,0.0
full_eto,001,2010,4,2010-02-14,initial,0.7,0.118,3.41,2.39,2.39,2.39,1.0,0.617,7.7,43.2,0.0
full_eto,001,2010,5,2010-02-15,initial,0.7,0.124,3.47,2.43,2.43,2.43,1.0,0.544,7.1,50.3,0.0
full_eto,001,2010,6,2010-02-16,initial,0.7,0.13,3.35,2.34,2.34,2.34,1.0,0.464,6.9,57.2,0.0
full_eto,001,2010,7,2010-02-17,initial,0.7,0.136,3.91,2.73,2.73,2.73,1.0,0.536,9.1,66.4,0.0
full_eto,001,2010,8,2010-02-18,initial,0.7,0.141,3.98,2.78,2.78,2.78,1.0,0.518,9.4,75.8,0.0
full_eto,001,2010,9,2010-02-19,initial,0.7,0.147,4.56,3.19,3.19,3.19,1.0,0.705,13.8,89.6,0.0
full_eto,001,2010,10,2010-02-20,initial,0.7,0.153,4.2,2.94,2.94,2.94,1.0,0.749,15.6,105.2,0.0
full_eto,001,2010,11,2010-02-21,initial,0.7,0.159,4.17,2.92,2.92,2.92,1.0,0.606,13.4,118.6,0.0
full_eto,001,2010,12,2010-02-22,initial,0.7,0.165,4.01,2.81,2.81,2.81,1.0,1.0,21.0,139.6,0.0
full_eto,001,2010,13,2010-02-23,initial,0.7,0.171,4.13,2.89,2.89,2.9,1.0,1.0,22.5,162.1,0.0
full_eto,001,2010,14,2010-02-24,initial,0.7,0.177,3.92,2.74,2.74,2.74,1.0,1.0,22.3,184.4,0.0
full_eto,001,2010,15,2010-02-25,initial,0.7,0.183,3.68,2.57,2.57,2.72,1.0,1.0,18.5,202.9,0.0
full_eto,001,2010,16,2010-02-26,initial,0.7,0.189,3.18,2.22,2.22,2.31,1.0,1.0,19.9,222.8,0.0
full_eto,001,2010,17,2010-02-27,initial,0.7,0.195,3.62,2.53,2.53,2.53,1.0,1.0,27.0,249.9,0.0
full_eto,001,2010,18,2010-02-28,initial,0.7,0.201,4.38,3.06,3.06,3.06,1.0,1.0,22.8,272.7,0.0
full_eto,001,2010,19,2010-03-01,initial,0.7,0.207,4.25,2.97,2.97,2.99,1.0,1.0,28.9,301.6,0.0
full_eto,001,2010,20,2010-03-02,initial,0.7,0.212,4.19,2.94,2.94,2.94,1.0,1.0,30.6,332.3,0.0
