# SOURCE: Synthetic data generated for Community Agri-PV model
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale onion prices (USD/kg) for Egypt/MENA region
# UNITS: usd_per_kg (wholesale), usd_per_kg_farmgate (estimated farmgate)
# LOGIC: Sinusoidal seasonality (low prices at harvest) + AR(1) persistence + random shocks
# DEPENDENCIES: None
# ASSUMPTIONS: Harvest months [4, 5, 6, 11, 12], price range $0.25-$0.70/kg
# FARMGATE_RATIO: 0.45 (farmgate = wholesale * 0.45, typical Egyptian fresh produce)
# GENERATION_METHOD: Synthetic with realistic seasonal and market dynamics
# CURRENCY: All prices in USD; reference FAO/USDA global commodity prices
date,usd_per_kg,season,market_condition,usd_per_kg_farmgate
2015-01-01,0.452,winter,low,0.2034
2015-02-01,0.5541,winter,high,0.2493
2015-03-01,0.4503,spring,low,0.2026
2015-04-01,0.5416,spring,medium,0.2437
2015-05-01,0.4679,spring,low,0.2106
2015-06-01,0.4838,summer,low,0.2177
2015-07-01,0.5152,summer,medium,0.2318
2015-08-01,0.4884,summer,low,0.2198
2015-09-01,0.5408,fall,medium,0.2434
2015-10-01,0.5287,fall,medium,0.2379
2015-11-01,0.4827,fall,low,0.2172
2015-12-01,0.4779,winter,low,0.2151
2016-01-01,0.5503,winter,high,0.2476
2016-02-01,0.5762,winter,high,0.2593
2016-03-01,0.54,spring,medium,0.243
2016-04-01,0.4964,spring,medium,0.2234
2016-05-01,0.4901,spring,low,0.2205
2016-06-01,0.4903,summer,low,0.2206
2016-07-01,0.5136,summer,medium,0.2311
2016-08-01,0.561,summer,high,0.2525
2016-09-01,0.501,fall,medium,0.2255
2016-10-01,0.487,fall,low,0.2192
2016-11-01,0.4596,fall,low,0.2068
2016-12-01,0.4754,winter,low,0.2139
2017-01-01,0.4773,winter,low,0.2148
2017-02-01,0.5354,winter,medium,0.2409
2017-03-01,0.4873,spring,low,0.2193
2017-04-01,0.5048,spring,medium,0.2272
2017-05-01,0.477,spring,low,0.2147
2017-06-01,0.4693,summer,low,0.2112
2017-07-01,0.5115,summer,medium,0.2302
2017-08-01,0.5595,summer,high,0.2518
2017-09-01,0.548,fall,high,0.2466
2017-10-01,0.4618,fall,low,0.2078
2017-11-01,0.4208,fall,low,0.1894
2017-12-01,0.4718,winter,low,0.2123
2018-01-01,0.4856,winter,low,0.2185
2018-02-01,0.5282,winter,medium,0.2377
2018-03-01,0.4597,spring,low,0.2069
2018-04-01,0.3894,spring,low,0.1752
2018-05-01,0.4689,spring,low,0.211
2018-06-01,0.5051,summer,medium,0.2273
2018-07-01,0.5555,summer,high,0.25
2018-08-01,0.608,summer,high,0.2736
2018-09-01,0.5756,fall,high,0.259
2018-10-01,0.6125,fall,high,0.2756
2018-11-01,0.607,fall,high,0.2732
2018-12-01,0.549,winter,high,0.2471
2019-01-01,0.4558,winter,low,0.2051
2019-02-01,0.4698,winter,low,0.2114
2019-03-01,0.4829,spring,low,0.2173
2019-04-01,0.4285,spring,low,0.1928
2019-05-01,0.4619,spring,low,0.2079
2019-06-01,0.4606,summer,low,0.2073
2019-07-01,0.5063,summer,medium,0.2278
2019-08-01,0.5432,summer,high,0.2444
2019-09-01,0.572,fall,high,0.2574
2019-10-01,0.5982,fall,high,0.2692
2019-11-01,0.4694,fall,low,0.2112
2019-12-01,0.4861,winter,low,0.2187
2020-01-01,0.4333,winter,low,0.195
2020-02-01,0.6186,winter,high,0.2784
2020-03-01,0.5869,spring,high,0.2641
2020-04-01,0.4923,spring,low,0.2215
2020-05-01,0.4472,spring,low,0.2012
2020-06-01,0.5088,summer,medium,0.229
2020-07-01,0.5462,summer,high,0.2458
2020-08-01,0.5454,summer,high,0.2454
2020-09-01,0.6243,fall,high,0.2809
2020-10-01,0.5852,fall,high,0.2633
2020-11-01,0.492,fall,low,0.2214
2020-12-01,0.4781,winter,low,0.2151
2021-01-01,0.5101,winter,medium,0.2295
2021-02-01,0.5538,winter,high,0.2492
2021-03-01,0.509,spring,medium,0.2291
2021-04-01,0.4527,spring,low,0.2037
2021-05-01,0.5249,spring,medium,0.2362
2021-06-01,0.542,summer,high,0.2439
2021-07-01,0.6061,summer,high,0.2727
2021-08-01,0.6118,summer,high,0.2753
2021-09-01,0.6141,fall,high,0.2763
2021-10-01,0.6088,fall,high,0.274
2021-11-01,0.5339,fall,medium,0.2403
2021-12-01,0.5196,winter,medium,0.2338
2022-01-01,0.5315,winter,medium,0.2392
2022-02-01,0.5232,winter,medium,0.2354
2022-03-01,0.5678,spring,high,0.2555
2022-04-01,0.4941,spring,low,0.2223
2022-05-01,0.5375,spring,medium,0.2419
2022-06-01,0.5276,summer,medium,0.2374
2022-07-01,0.522,summer,medium,0.2349
2022-08-01,0.5506,summer,high,0.2478
2022-09-01,0.5467,fall,high,0.246
2022-10-01,0.5379,fall,medium,0.2421
2022-11-01,0.5276,fall,medium,0.2374
2022-12-01,0.4857,winter,low,0.2186
2023-01-01,0.5155,winter,medium,0.232
2023-02-01,0.5848,winter,high,0.2632
2023-03-01,0.542,spring,high,0.2439
2023-04-01,0.4942,spring,low,0.2224
2023-05-01,0.5637,spring,high,0.2537
2023-06-01,0.5604,summer,high,0.2522
2023-07-01,0.5411,summer,medium,0.2435
2023-08-01,0.5435,summer,high,0.2446
2023-09-01,0.56,fall,high,0.252
2023-10-01,0.5315,fall,medium,0.2392
2023-11-01,0.527,fall,medium,0.2372
2023-12-01,0.5677,winter,high,0.2555
2024-01-01,0.5764,winter,high,0.2594
2024-02-01,0.5694,winter,high,0.2562
2024-03-01,0.5842,spring,high,0.2629
2024-04-01,0.524,spring,medium,0.2358
2024-05-01,0.5261,spring,medium,0.2367
2024-06-01,0.5329,summer,medium,0.2398
2024-07-01,0.5027,summer,medium,0.2262
2024-08-01,0.5126,summer,medium,0.2307
2024-09-01,0.5113,fall,medium,0.2301
2024-10-01,0.5247,fall,medium,0.2361
2024-11-01,0.5237,fall,medium,0.2357
2024-12-01,0.5195,winter,medium,0.2338
