# SOURCE: Synthetic data generated for Community Agri-PV model
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale potato prices (USD/kg) for Egypt/MENA region
# UNITS: usd_per_kg (USD per kilogram, wholesale)
# LOGIC: Sinusoidal seasonality (low prices at harvest) + AR(1) persistence + random shocks
# DEPENDENCIES: None
# ASSUMPTIONS: Harvest months [3, 4, 5, 10, 11], price range $0.30-$0.80/kg
# GENERATION_METHOD: Synthetic with realistic seasonal and market dynamics
# CURRENCY: All prices in USD; reference FAO/USDA global commodity prices
date,usd_per_kg,season,market_condition
2015-01-01,0.645,winter,high
2015-02-01,0.5356,winter,low
2015-03-01,0.54,spring,low
2015-04-01,0.5483,spring,low
2015-05-01,0.5622,spring,low
2015-06-01,0.6015,summer,medium
2015-07-01,0.545,summer,low
2015-08-01,0.6735,summer,high
2015-09-01,0.4897,fall,low
2015-10-01,0.5352,fall,low
2015-11-01,0.5773,fall,medium
2015-12-01,0.5996,winter,medium
2016-01-01,0.6499,winter,high
2016-02-01,0.6153,winter,medium
2016-03-01,0.5918,spring,medium
2016-04-01,0.574,spring,low
2016-05-01,0.5355,spring,low
2016-06-01,0.574,summer,low
2016-07-01,0.5819,summer,medium
2016-08-01,0.6033,summer,medium
2016-09-01,0.5613,fall,low
2016-10-01,0.5105,fall,low
2016-11-01,0.5431,fall,low
2016-12-01,0.5381,winter,low
2017-01-01,0.6185,winter,medium
2017-02-01,0.5679,winter,low
2017-03-01,0.5395,spring,low
2017-04-01,0.5455,spring,low
2017-05-01,0.5297,spring,low
2017-06-01,0.5722,summer,low
2017-07-01,0.5724,summer,low
2017-08-01,0.5442,summer,low
2017-09-01,0.4924,fall,low
2017-10-01,0.4865,fall,low
2017-11-01,0.5236,fall,low
2017-12-01,0.5662,winter,low
2018-01-01,0.6364,winter,high
2018-02-01,0.6547,winter,high
2018-03-01,0.6213,spring,medium
2018-04-01,0.5418,spring,low
2018-05-01,0.566,spring,low
2018-06-01,0.5837,summer,medium
2018-07-01,0.6977,summer,high
2018-08-01,0.5553,summer,low
2018-09-01,0.5923,fall,medium
2018-10-01,0.5978,fall,medium
2018-11-01,0.5659,fall,low
2018-12-01,0.6413,winter,high
2019-01-01,0.6632,winter,high
2019-02-01,0.5892,winter,medium
2019-03-01,0.5799,spring,medium
2019-04-01,0.5649,spring,low
2019-05-01,0.625,spring,high
2019-06-01,0.6073,summer,medium
2019-07-01,0.6215,summer,high
2019-08-01,0.6796,summer,high
2019-09-01,0.6639,fall,high
2019-10-01,0.6271,fall,high
2019-11-01,0.7302,fall,high
2019-12-01,0.6804,winter,high
2020-01-01,0.6642,winter,high
2020-02-01,0.6607,winter,high
2020-03-01,0.6701,spring,high
2020-04-01,0.5995,spring,medium
2020-05-01,0.6078,spring,medium
2020-06-01,0.6385,summer,high
2020-07-01,0.5171,summer,low
2020-08-01,0.5725,summer,low
2020-09-01,0.5155,fall,low
2020-10-01,0.5226,fall,low
2020-11-01,0.5466,fall,low
2020-12-01,0.6406,winter,high
2021-01-01,0.7134,winter,high
2021-02-01,0.6208,winter,medium
2021-03-01,0.5783,spring,medium
2021-04-01,0.5915,spring,medium
2021-05-01,0.5419,spring,low
2021-06-01,0.6297,summer,high
2021-07-01,0.7002,summer,high
2021-08-01,0.6953,summer,high
2021-09-01,0.5897,fall,medium
2021-10-01,0.5849,fall,medium
2021-11-01,0.5996,fall,medium
2021-12-01,0.6854,winter,high
2022-01-01,0.5865,winter,medium
2022-02-01,0.5966,winter,medium
2022-03-01,0.552,spring,low
2022-04-01,0.5881,spring,medium
2022-05-01,0.5488,spring,low
2022-06-01,0.5824,summer,medium
2022-07-01,0.5754,summer,medium
2022-08-01,0.5923,summer,medium
2022-09-01,0.6121,fall,medium
2022-10-01,0.5792,fall,medium
2022-11-01,0.6352,fall,high
2022-12-01,0.5669,winter,low
2023-01-01,0.5834,winter,medium
2023-02-01,0.5948,winter,medium
2023-03-01,0.5906,spring,medium
2023-04-01,0.5788,spring,medium
2023-05-01,0.6159,spring,medium
2023-06-01,0.6503,summer,high
2023-07-01,0.7485,summer,high
2023-08-01,0.6931,summer,high
2023-09-01,0.7518,fall,high
2023-10-01,0.7011,fall,high
2023-11-01,0.6916,fall,high
2023-12-01,0.7563,winter,high
2024-01-01,0.6925,winter,high
2024-02-01,0.7211,winter,high
2024-03-01,0.6542,spring,high
2024-04-01,0.6479,spring,high
2024-05-01,0.6806,spring,high
2024-06-01,0.6097,summer,medium
2024-07-01,0.6161,summer,medium
2024-08-01,0.5515,summer,low
2024-09-01,0.5791,fall,medium
2024-10-01,0.5787,fall,medium
2024-11-01,0.6399,fall,high
2024-12-01,0.6491,winter,high
