# SOURCE: Synthetic data generated for Community Agri-PV model
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale potato prices (USD/kg) for Egypt/MENA region
# UNITS: usd_per_kg (wholesale), usd_per_kg_farmgate (estimated farmgate)
# LOGIC: Sinusoidal seasonality (low prices at harvest) + AR(1) persistence + random shocks
# DEPENDENCIES: None
# ASSUMPTIONS: Harvest months [3, 4, 5, 10, 11], price range $0.30-$0.80/kg
# FARMGATE_RATIO: 0.45 (farmgate = wholesale * 0.45, typical Egyptian fresh produce)
# GENERATION_METHOD: Synthetic with realistic seasonal and market dynamics
# CURRENCY: All prices in USD; reference FAO/USDA global commodity prices
date,usd_per_kg,season,market_condition,usd_per_kg_farmgate
2015-01-01,0.645,winter,high,0.2903
2015-02-01,0.5356,winter,low,0.241
2015-03-01,0.54,spring,low,0.243
2015-04-01,0.5483,spring,low,0.2467
2015-05-01,0.5622,spring,low,0.253
2015-06-01,0.6015,summer,medium,0.2707
2015-07-01,0.545,summer,low,0.2453
2015-08-01,0.6735,summer,high,0.3031
2015-09-01,0.4897,fall,low,0.2204
2015-10-01,0.5352,fall,low,0.2408
2015-11-01,0.5773,fall,medium,0.2598
2015-12-01,0.5996,winter,medium,0.2698
2016-01-01,0.6499,winter,high,0.2925
2016-02-01,0.6153,winter,medium,0.2769
2016-03-01,0.5918,spring,medium,0.2663
2016-04-01,0.574,spring,low,0.2583
2016-05-01,0.5355,spring,low,0.241
2016-06-01,0.574,summer,low,0.2583
2016-07-01,0.5819,summer,medium,0.2619
2016-08-01,0.6033,summer,medium,0.2715
2016-09-01,0.5613,fall,low,0.2526
2016-10-01,0.5105,fall,low,0.2297
2016-11-01,0.5431,fall,low,0.2444
2016-12-01,0.5381,winter,low,0.2421
2017-01-01,0.6185,winter,medium,0.2783
2017-02-01,0.5679,winter,low,0.2556
2017-03-01,0.5395,spring,low,0.2428
2017-04-01,0.5455,spring,low,0.2455
2017-05-01,0.5297,spring,low,0.2384
2017-06-01,0.5722,summer,low,0.2575
2017-07-01,0.5724,summer,low,0.2576
2017-08-01,0.5442,summer,low,0.2449
2017-09-01,0.4924,fall,low,0.2216
2017-10-01,0.4865,fall,low,0.2189
2017-11-01,0.5236,fall,low,0.2356
2017-12-01,0.5662,winter,low,0.2548
2018-01-01,0.6364,winter,high,0.2864
2018-02-01,0.6547,winter,high,0.2946
2018-03-01,0.6213,spring,medium,0.2796
2018-04-01,0.5418,spring,low,0.2438
2018-05-01,0.566,spring,low,0.2547
2018-06-01,0.5837,summer,medium,0.2627
2018-07-01,0.6977,summer,high,0.314
2018-08-01,0.5553,summer,low,0.2499
2018-09-01,0.5923,fall,medium,0.2665
2018-10-01,0.5978,fall,medium,0.269
2018-11-01,0.5659,fall,low,0.2547
2018-12-01,0.6413,winter,high,0.2886
2019-01-01,0.6632,winter,high,0.2984
2019-02-01,0.5892,winter,medium,0.2651
2019-03-01,0.5799,spring,medium,0.261
2019-04-01,0.5649,spring,low,0.2542
2019-05-01,0.625,spring,high,0.2812
2019-06-01,0.6073,summer,medium,0.2733
2019-07-01,0.6215,summer,high,0.2797
2019-08-01,0.6796,summer,high,0.3058
2019-09-01,0.6639,fall,high,0.2988
2019-10-01,0.6271,fall,high,0.2822
2019-11-01,0.7302,fall,high,0.3286
2019-12-01,0.6804,winter,high,0.3062
2020-01-01,0.6642,winter,high,0.2989
2020-02-01,0.6607,winter,high,0.2973
2020-03-01,0.6701,spring,high,0.3015
2020-04-01,0.5995,spring,medium,0.2698
2020-05-01,0.6078,spring,medium,0.2735
2020-06-01,0.6385,summer,high,0.2873
2020-07-01,0.5171,summer,low,0.2327
2020-08-01,0.5725,summer,low,0.2576
2020-09-01,0.5155,fall,low,0.232
2020-10-01,0.5226,fall,low,0.2352
2020-11-01,0.5466,fall,low,0.246
2020-12-01,0.6406,winter,high,0.2883
2021-01-01,0.7134,winter,high,0.321
2021-02-01,0.6208,winter,medium,0.2794
2021-03-01,0.5783,spring,medium,0.2602
2021-04-01,0.5915,spring,medium,0.2662
2021-05-01,0.5419,spring,low,0.2439
2021-06-01,0.6297,summer,high,0.2834
2021-07-01,0.7002,summer,high,0.3151
2021-08-01,0.6953,summer,high,0.3129
2021-09-01,0.5897,fall,medium,0.2654
2021-10-01,0.5849,fall,medium,0.2632
2021-11-01,0.5996,fall,medium,0.2698
2021-12-01,0.6854,winter,high,0.3084
2022-01-01,0.5865,winter,medium,0.2639
2022-02-01,0.5966,winter,medium,0.2685
2022-03-01,0.552,spring,low,0.2484
2022-04-01,0.5881,spring,medium,0.2646
2022-05-01,0.5488,spring,low,0.247
2022-06-01,0.5824,summer,medium,0.2621
2022-07-01,0.5754,summer,medium,0.2589
2022-08-01,0.5923,summer,medium,0.2665
2022-09-01,0.6121,fall,medium,0.2754
2022-10-01,0.5792,fall,medium,0.2606
2022-11-01,0.6352,fall,high,0.2858
2022-12-01,0.5669,winter,low,0.2551
2023-01-01,0.5834,winter,medium,0.2625
2023-02-01,0.5948,winter,medium,0.2677
2023-03-01,0.5906,spring,medium,0.2658
2023-04-01,0.5788,spring,medium,0.2605
2023-05-01,0.6159,spring,medium,0.2772
2023-06-01,0.6503,summer,high,0.2926
2023-07-01,0.7485,summer,high,0.3368
2023-08-01,0.6931,summer,high,0.3119
2023-09-01,0.7518,fall,high,0.3383
2023-10-01,0.7011,fall,high,0.3155
2023-11-01,0.6916,fall,high,0.3112
2023-12-01,0.7563,winter,high,0.3403
2024-01-01,0.6925,winter,high,0.3116
2024-02-01,0.7211,winter,high,0.3245
2024-03-01,0.6542,spring,high,0.2944
2024-04-01,0.6479,spring,high,0.2916
2024-05-01,0.6806,spring,high,0.3063
2024-06-01,0.6097,summer,medium,0.2744
2024-07-01,0.6161,summer,medium,0.2772
2024-08-01,0.5515,summer,low,0.2482
2024-09-01,0.5791,fall,medium,0.2606
2024-10-01,0.5787,fall,medium,0.2604
2024-11-01,0.6399,fall,high,0.288
2024-12-01,0.6491,winter,high,0.2921
